16,16,17,21,15,18,17,14,19,15,NA,18,17,16,15,18,16,16,17,17,18,15,16,16,15,16,16,17,17,15,16,18,16,16,17,15,15,16,19,17,16,6,15,16,18,18,16,16,17,16,16,16,18,16,18,22,15,15,15,15,16,15,15,17,15,18,15,14,20,16,15,14,15,16,15
19,14,14,16,15,15,16,14,14,15,18,NA,16,13,15,17,17,17,16,16,15,15,15,14,16,20,19,15,17,16,18,16,16,15,14,18,16,16,16,17,14,11,16,17,17,15,19,18,16,16,21,15,17,15,17,16,20,15,19,17,17,15,19,17,21,17,17,18,15,17,19,16,17,16,15
16,15,14,16,16,16,14,17,15,15,17,16,NA,16,19,20,15,14,15,15,16,19,18,19,15,20,15,16,18,16,20,16,17,15,19,15,19,13,15,18,16,10,17,16,16,16,19,15,16,16,15,15,15,20,16,17,17,15,15,14,18,16,14,20,16,14,19,14,14,14,17,19,14,17,17
18,16,17,16,17,16,17,15,18,14,16,13,16,NA,15,14,14,15,16,16,14,18,15,17,16,14,16,16,15,15,20,16,17,17,16,14,19,17,14,17,17,11,17,15,22,16,19,16,15,18,19,13,19,17,17,15,15,15,14,15,16,16,16,16,17,17,18,16,16,15,20,16,14,17,16
15,18,15,15,15,15,15,17,14,15,15,15,19,15,NA,15,17,21,16,19,14,14,16,14,20,16,18,15,13,16,16,15,16,18,14,21,17,18,15,22,22,7,15,17,15,14,23,16,16,16,16,13,16,16,14,17,15,17,19,14,15,14,16,17,15,15,17,18,15,15,21,15,16,19,21
14,17,15,19,17,21,14,14,18,15,18,17,20,14,15,NA,17,18,17,16,16,15,14,14,15,20,15,16,15,15,16,16,16,18,16,14,15,23,16,15,15,9,15,15,15,15,16,16,19,18,17,19,15,15,14,17,15,13,15,18,17,15,17,18,13,16,15,16,17,17,18,16,17,17,17
16,15,16,16,16,15,16,16,17,14,16,17,15,14,17,17,NA,18,16,15,18,16,16,17,15,15,15,17,15,15,16,16,17,14,19,20,14,14,16,18,14,9,16,18,19,15,26,16,16,14,21,15,17,17,16,17,24,14,14,19,17,18,15,16,15,15,17,16,17,14,15,13,15,16,15
15,14,14,15,16,16,18,16,16,18,16,17,14,15,21,18,18,NA,15,14,15,16,17,13,15,15,15,17,15,15,13,15,16,13,17,16,18,16,16,17,17,8,15,16,16,17,23,19,14,18,14,16,15,18,16,15,18,15,21,16,17,16,21,14,17,18,16,17,16,15,17,17,16,15,19
17,18,16,15,15,21,16,18,15,15,17,16,15,16,16,17,16,15,NA,15,13,16,15,19,15,18,16,16,17,17,15,16,16,18,16,18,18,16,16,17,17,7,16,15,15,20,22,16,15,14,15,15,16,15,18,14,16,15,16,16,17,15,19,15,15,17,18,17,15,17,19,17,15,15,14
16,15,14,17,17,15,17,17,16,17,17,16,15,16,19,16,15,14,15,NA,16,15,17,16,24,15,18,17,15,18,14,17,19,18,18,13,16,19,15,21,15,8,15,16,14,14,24,17,14,16,15,16,17,16,15,15,15,15,17,16,16,18,18,14,19,19,14,15,17,15,17,16,16,18,15
17,14,17,13,17,19,18,14,19,20,18,15,16,14,14,16,18,15,13,16,NA,14,15,15,14,21,16,14,17,15,16,18,17,16,15,16,18,19,16,19,15,8,17,17,19,14,19,14,18,16,14,19,15,13,16,16,18,17,16,19,19,20,14,14,15,14,16,18,17,16,15,15,14,20,15
16,16,14,17,17,19,14,16,16,15,15,15,19,18,14,15,16,16,16,15,14,NA,16,20,15,15,16,13,17,20,16,17,20,16,18,17,15,15,16,15,14,8,15,15,17,15,23,16,14,16,19,18,16,16,17,18,15,16,18,16,16,17,15,15,16,22,16,17,16,20,18,16,14,14,15
